Sample Name,Target Name,Ct Mean,DeltaCt,DDeltaCt,FoldChange
H9_Ri1_LSB_D27,SOX1,24.7857589722,4.2536506653,-7.7065916061,208.8888398015474
H9_Ri1_LSB_D27,SOX2,18.4344997406,-2.0976085663,-7.107808113100001,137.93149564778014
H9_Ri1_LSB_D27,TUBB3,18.742433548,-1.7896747588999986,-4.618546485799998,24.5652409665553
H9_Ri1_LSB_D27,ZIC1,26.4070129395,5.8749046326,0.08434200289999971,0.9432146274911091
H9_Ri3_LSB_D16,ASCL1,29.5665645599,14.167539596500001,3.1709432602000014,0.11103271620372299
H9_Ri3_LSB_D16,FOXG1,31.4236297607,16.0246047973,0.5470361708999985,0.6844247465996325
H9_Ri3_LSB_D16,GAPDH,15.3990249634,0.0,0.0,1.0
H9_Ri3_LSB_D16,HOXB4,31.4592895508,16.0602645874,-0.07412433620000058,1.0527218778311465
H9_Ri3_LSB_D16,PAX6,18.0371112823,2.6380863188999992,-2.546320915300001,5.841427274162957
H9_Ri3_LSB_D16,RFX,26.6523361206,11.2533111572,-3.2298135756999997,9.381467247227386
H9_Ri3_LSB_D16,SOX1,24.6526031494,9.253578186,-2.7066640854,6.528104199828015
H9_Ri3_LSB_D16,SOX2,20.0290126801,4.629987716699999,-0.38021183010000215,1.3015329447617838
H9_Ri3_LSB_D16,TUBB3,19.7451114655,4.346086502099999,1.5172147751999994,0.3493597296202904
H9_Ri3_LSB_D16,ZIC1,24.422082901,9.023057937599999,3.232495307899999,0.10639517946892274
H9_Ri3_LSB_D20,ASCL1,27.5795345306,12.0727872848,1.0761909485000007,0.4742793799719599
H9_Ri3_LSB_D20,FOXG1,27.8251056671,12.318358421300001,-3.159210205100001,8.933405225628247
H9_Ri3_LSB_D20,GAPDH,15.5067472458,0.0,0.0,1.0
H9_Ri3_LSB_D20,HOXB4,30.5396652222,15.0329179764,-1.1014709471999993,2.1457335634123464
H9_Ri3_LSB_D20,PAX6,19.7798900604,4.2731428146,-0.9112644196000002,1.8806930700553712
H9_Ri3_LSB_D20,RFX,26.5616912842,11.054944038399999,-3.4281806945000017,10.764285787757565
H9_Ri3_LSB_D20,SOX1,26.6009731293,11.094225883500002,-0.8660163878999985,1.8226232647475102
H9_Ri3_LSB_D20,SOX2,20.4858112335,4.979063987700002,-0.0311355590999991,1.021816090504029
H9_Ri3_LSB_D20,TUBB3,21.9221858978,6.415438651999999,3.5865669250999996,0.0832407096601584
H9_Ri3_LSB_D20,ZIC1,23.197555542,7.6908082962,1.9002456665,0.2678977433071987
H9_Ri3_LSB_D27,ASCL1,23.785774231,8.714916229300002,-2.281680106999998,4.862438850373193
H9_Ri3_LSB_D27,FOXG1,26.4183883667,11.347530365,-4.130038261400001,17.509163570716254
H9_Ri3_LSB_D27,GAPDH,15.0708580017,0.0,0.0,1.0
H9_Ri3_LSB_D27,HOXB4,30.606672287,15.535814285299999,-0.5985746383000006,1.5142198001194676
H9_Ri3_LSB_D27,PAX6,17.9738292694,2.9029712677,-2.2814359665,4.861616072323127
H9_Ri3_LSB_D27,RFX,23.559545517,8.4886875153,-5.9944372176,63.75370222200976
H9_Ri3_LSB_D27,SOX1,21.1190738678,6.048215866100001,-5.912026405299999,60.213972952647104
H9_Ri3_LSB_D27,SOX2,17.9558429718,2.8849849700999997,-2.1252145767000012,4.362679757880748
H9_Ri3_LSB_D27,TUBB3,19.1950016022,4.124143600500002,1.2952718736000026,0.4074593738909022
H9_Ri3_LSB_D27,ZIC1,24.0251865387,8.954328537000002,3.163765907300002,0.11158647606440548
